rxn_smiles,solvent_smiles,ddGsolv,ddHsolv
[C:1](#[C:2][C:3]([H:5])([H:6])[H:7])[H:4].[C:8]([C:9](=[C:10]([H:14])[H:15])[H:13])([H:11])[H:12]>>[C:1](#[C:2][C:3]([H:6])[H:7])[H:4].[H:5][C:8]([C:9](=[C:10]([H:14])[H:15])[H:13])([H:11])[H:12],O,-0.4562495273253346,1.614543338133001
[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])[C:4]([O:5][H:15])([H:13])[H:14])([H:6])([H:7])[H:8].[H:9][O:17][C:16]([H:18])([H:19])[H:20]>>[C:16]([O:17])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([C:4]([O:5][H:15])([H:13])[H:14])[H:9])([H:6])([H:7])[H:8],OCC(C)C,3.5079982287422773,8.78528960086756
[C:14]([H:15])([H:16])[H:17].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])=[O:5])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([C:4]([H:12])[H:13])=[O:5])([H:9])[H:10])([H:6])([H:7])[H:8].[H:11][C:14]([H:15])([H:16])[H:17],O,-1.2502737040970933,0.2619229903394011
[C:1]([O:2][C:3]=[O:4])([H:5])([H:6])[H:7].[H:8][O:9]>>[C:1]([O:2][C:3](=[O:4])[H:8])([H:5])([H:6])[H:7].[O:9],CCOCCOCCOCC,1.6479605120189493,5.909077390220677
[C:1]([O:2][C:3](=[O:4])[H:8])([H:5])([H:6])[H:7].[O:9]>>[C:1]([O:2][C:3](=[O:4])[H:8])([H:6])[H:7].[H:5][O:9],O,-3.7208663932841053,-1.2518725071248331
[O:1]([H:2])[C:4]([C:3]([H:7])[H:8])([C:5]([C:6]([H:12])([H:13])[H:14])([H:10])[H:11])[H:9]>>[C:3](=[C:4]([C:5]([C:6]([H:12])([H:13])[H:14])([H:10])[H:11])[H:9])([H:7])[H:8].[O:1][H:2],O=S1(CCCC1)=O,-0.7491170360456788,-0.5359038614688306
[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([H:7])[H:8])([H:5])[H:6].[H:4][O:12][O:13][H:14]>>[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([H:7])[H:8])([H:4])([H:5])[H:6].[O:12][O:13][H:14],CCOCC,1.9678484849396292,7.191612731765031
[C:1]([C:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[H:9][O:17][C:16]([H:18])([H:19])[H:20]>>[C:16]([O:17])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],Cc1cccc(C)c1,-2.0294622653312486,-0.3062786611877933
[C:16]([O:17])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([C:2]([C:3]([C:4]([O:5][H:15])([H:13])[H:14])([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[H:9][O:17][C:16]([H:18])([H:19])[H:20],Brc1ccccc1,-2.1266465873383575,-0.9627365447804271
[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([O:5][H:16])([H:14])[H:15])[O:6][O:7][H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([O:5][H:16])([H:14])[H:15])[O:6][O:7])([H:8])([H:9])[H:10],Clc1ccccc1,-0.14493081930575683,0.1275302421475705
